Pig 2 EDL,,
Count,Reference,Average (µm)
1,47,71.9
2,48,66.1
3,49,83.1
4,50,50.9
5,51,73.8
6,52,75.6
7,53,89.4
8,54,42.7
9,55,74
10,56,101.8
11,57,75.9
12,58,74.6
13,59,89.6
14,60,84.8
15,61,100.5
16,62,75.3
17,63,76.9
18,64,48.2
19,65,57.9
20,66,66.5
21,67,124.4
22,68,95.7
23,69,53.1
24,70,79.3
25,71,115.3
26,72,58
27,73,97.8
28,74,83.8
29,75,89.4
30,76,92.6
31,77,68.8
32,78,55.2
33,79,101.9
34,80,67.2
35,81,93.1
36,82,73.7
37,83,84.6
38,84,54.9
39,85,78.6
40,86,72.8
41,88,92.3
42,89,126.9
43,90,69.3
44,91,150.10
45,92,49.9
,,
,,
