IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,50.51,1,m/m,nd,nd,229.7,204.6,260844,32,99,16,32,32,128.2,4,5.12,207.3,263.1,38.3,92.6,356,73.9,78.1,185,70.3,5,52.6,0.8
512,50.51,2,y/h,nd,nd,254.1,173.9,260666,42,132,23,42,43,145.8,3.5,5.42,266.7,217.9,37,90.5,336.5,64.8,62.9,155,71.1,3,72.6,0.67
512,50.51,3,y/y,nd,nd,151.3,124.3,261391,14,38,3,14,11,74.3,5.3,4.08,164.6,115.4,42.2,105.4,193.7,59.6,27.5,87.9,76.2,3,38.5,0.67
512,50.51,4,m/m,1,0.9,167.8,117.8,261220,36,81,22,36,29,91.2,2.5,4.98,133.3,135,31.7,77.3,200.6,67.3,52.8,82.2,60.9,2,67.5,0.5
512,50.51,5,m/m,nd,nd,277.9,253.9,261731,48,93,18,48,31,40.7,0.8,4.78,283.4,265.2,35.6,94.7,470.8,56.3,49.4,215.8,81.4,6,44.2,0.83
512,50.51,6,m/y,nd,nd,203.3,133.1,261005,18,86,17,18,29,112.4,6.2,4.77,179.9,168.3,36.1,87.7,251,67.1,42.8,125.5,74.6,4,42.1,0.75
512,50.51,7,h/m,nd,nd,449.7,445.9,259285,63,160,44,63,57,282,4.5,6.01,444.7,450.5,50.8,190.5,891.4,50.5,74,376.5,83.6,6,75.1,0.83
512,50.51,8,h/h,nd,nd,221,184.4,260899,30,106,12,30,33,122.8,4.1,5.09,187,246,26.6,76.4,347,70.9,50.2,195.8,79.6,2,123,0.5
512,50.51,10,h/h,2,1.1,208,276,260540,25,155,21,25,49,158.2,6.3,5.29,243,253.3,25.2,78.7,364.2,69.5,24.9,228.4,90.2,1,253.3,0
512,50.51,11,h/m,nd,nd,95.3,131.4,261599,9,33,5,9,11,53.8,6,3.71,111.7,124.9,31,78,174.5,71.6,18.8,106.1,84.9,2,62.5,0.5
512,50.51,12,y/y,nd,nd,312.3,275.3,260263,34,173,27,34,56,185.6,5.5,5.55,272.2,337.6,30.8,95.5,521.7,64.7,93,244.6,72.5,3,112.5,0.67
512,50.51,13,h/h,nd,nd,280.5,318,260295,25,137,25,25,45,182.4,7.3,5.32,349.7,300.8,31,95.6,517,58.2,49.3,251.5,83.6,1,300.8,0
512,50.51,14,h/h,nd,nd,312.7,295.8,260416,41,125,19,41,40,170.5,4.2,5.45,323.4,372.1,45.4,123.4,698.9,53.2,94.6,277.5,74.6,2,186.1,0.5
512,50.51,15,h/h,nd,nd,183.1,145.5,261122,12,51,13,12,18,100.8,8.4,4.34,178.5,142.8,41.2,91.9,223.8,63.8,25.9,116.9,81.9,2,71.4,0.5
512,52.4,16,y/h,1,1.4,325.6,303.1,260250,34,142,18,34,45,193.8,5.7,5.47,299.2,317.8,48.1,118.9,514.8,61.7,64.1,253.7,79.8,3,105.9,0.67
512,50.51,20,h/m,nd,nd,269,270.3,260585,25,85,16,25,28,153.8,6.2,5.04,306.6,302,31.9,91,470.9,64.1,61.2,240.8,79.7,5,60.4,0.8
512,50.51,21,h/h,nd,nd,288.7,304.9,259819,43,269,60,43,92,229.4,5.3,5.96,215,328.5,37.6,90.9,406.2,80.9,61.3,267.2,81.3,4,82.1,0.75
512,50.51,22,h/h,nd,nd,151.7,179.2,261209,14,62,3,14,18,92.2,6.6,4.37,156.6,198.2,31.8,79.2,265.1,74.8,32.7,165.5,83.5,1,198.2,0
512,50.51,23,m/h,1,3,218.8,217.7,260838,32,101,17,32,33,128.8,4,5.13,193.3,246.8,28.1,85.2,354.6,69.6,61,185.8,75.3,3,82.3,0.67
512,50.51,26,h/h,nd,nd,282.5,327.4,260296,22,125,20,22,41,182.3,8.3,5.21,334.1,315.2,31.7,505.7,94.2,334.6,38.4,276.8,87.8,6,52.5,0.83
512,50.51,28,h/m,1,nd,318.5,524.6,260142,19,137,22,19,45,197.5,10.4,5.22,383.2,371,35.8,99.2,568.1,65.3,66.5,304.5,82.1,8,46.4,0.88
512,50.51,30,m/m,nd,nd,306.4,299.1,260312,37,156,36,37,54,180.7,4.9,5.56,236.6,416.4,33.8,102.7,591.1,70.4,82.7,333.7,80.1,1,416.4,0
512,59.38,31,m/h,1,1.1,346.9,309.6,260120,55,246,47,55,82,234.7,4.3,6.02,241.3,343.3,28.3,90.9,478.8,71.7,72.6,270.7,78.9,9,38.1,0.89
512,59.38,32,h/h,nd,nd,375.4,283.8,260461,43,145,34,43,50,195.2,4.5,5.62,263.2,427.4,41.6,110.9,667,64.1,156.8,270.6,63.3,3,142.5,0.67
512,59.38,33,m/m,nd,nd,344.3,258.2,260507,44,156,28,44,52,189.9,4.3,5.63,337.2,278.9,31.9,92.9,477.8,58.4,58.2,220.7,79.1,1,278.9,0
512,59.38,34,m/h,1,1.9,233.2,264.5,261000,29,83,10,29,26,132.7,4.6,5,229.8,233.4,35.9,93.9,358.6,65.1,39,194.4,83.3,2,116.7,0.5
512,59.38,35,h/h,1,nd,376.2,322,260167,55,213,40,55,71,229.3,4.2,5.95,295.9,388,42.7,118.8,743.5,52.2,102.8,285.2,73.5,1,388,0
512,59.38,36,m/m,1,1.9,279.8,207.4,260754,61,154,36,61,53,161.2,2.6,5.72,250.5,222.5,24.9,75.3,366.4,60.7,62.2,160.3,72,2,111.3,0.5
