IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,104.79,0,H,nd,nd,217.522,206.683,261591,9,49,7,9,16,113.2,12.6,4.2,207.129,284.346,33.278,93.736,527.849,53.9,80.302,204.044,71.8,1,284.346,0
512,35,1,H,nd,nd,193.003,120.785,260682,36,110,21,36,37,99.9,2.8,5.12,212.081,107.368,29.744,83.349,221.279,48.5,15.781,91.587,85.3,17,6.315764706,0.94
512,50.51,2,M,nd,nd,65.678,46.128,261747,8,38,11,8,14,39.2,4.9,3.63,41.135,31.128,10.846,28.303,41.962,74.2,6.833,24.295,78,1,31.128,0
512,50.51,3,H,1,nd,327.108,278.033,260363,52,138,25,52,46,175.7,3.4,5.62,265.241,371.886,33.086,104.153,627.746,59.2,103.167,268.719,72.3,3,123.962,0.67
512,50.51,41,H,nd,nd,191.779,141.849,261125,49,99,23,49,34,100.5,2.1,5.23,163.667,259.413,34.239,103.405,333.613,77.8,120.172,139.241,53.7,2,129.7065,0.5
512,52.4,5,H,nd,0.863,208.509,344.74,260558,40,128,22,40,42,162.3,4.1,5.44,280.92,259.36,33.4,96.6,515.78,50.3,9.79,249.57,96.2,8,32.42,0.88
512,50.51,6,H,nd,nd,290.342,278.987,260329,49,168,32,49,56,179.1,3.7,5.69,205.398,382.311,36.419,96.276,483.775,79,109.368,272.943,71.4,5,76.4622,0.8
512,52.4,7,H,nd,nd,284.07,264.228,260462,47,138,15,47,43,172.1,3.7,5.54,346.293,276.753,31.589,97.432,488.274,56.7,52.32,224.433,81.1,10,27.6753,0.9
512,52.4,8,H,nd,nd,156.091,177.444,261261,12,52,4,12,16,90.4,7.5,4.23,159.353,186.167,31.055,83.86,260.814,71.4,26.642,159.525,85.7,1,186.167,0
512,52.4,9,H,nd,nd,431.397,401.814,259627,47,185,21,47,58,257.6,5.5,5.84,448.048,468.408,41.737,150.936,772.651,60.6,95.602,372.806,79.6,5,93.6816,0.8
512,52.4,10,H,nd,nd,315.601,330.215,260441,41,170,15,41,52,174.3,4.3,5.57,263.228,419.921,30.754,101.911,632.164,66.4,100.66,319.261,76,2,209.9605,0.5
512,50.51,11,H,nd,nd,128.023,144.185,261201,31,106,20,31,35,93,3,5.01,115.615,167.059,32.193,77.889,207.61,80.5,43.111,123.948,74.2,1,167.059,0
512,50.51,12,Y,1,1.855,252.689,352.233,260439,7,89,20,7,31,168.2,24,4.56,198.987,422.686,32.686,92.338,517.677,81.7,78.23,344.456,81.5,1,422.686,0
512,52.4,13,M,nd,nd,192.402,198.294,260983,17,91,10,17,28,118.8,7,4.76,153.164,245.472,26.874,74.439,297.886,82.4,58.959,186.513,76,7,35.06742857,0.86
512,50.51,14,H,nd,nd,347.143,310.933,260017,48,170,25,48,55,209.8,4.4,5.74,275.291,428.585,34.829,114.11,684.756,62.6,119.871,308.714,72,1,428.585,0
