IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48um)",Ref number,(nerve terminal/motor endplate),Number of Axonal Inputs,Axon Diameter (um),Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels), Number of Terminal Branches,Number of Branch Points,Total Length of Branches (um),Average Length of Branches (um),"""Complexity""",AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),"""Compactness"" (%)",Unoccupied AChR Area (um2),"""Area of Synaptic Contact"" (um2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (um2),"""Fragmentation"""
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3.tif,Otsu/Otsu,1,1.56780294,186.3482115,117.2131973,261186,48,72,18,48,25.2,94.51580856,1.969079345,5.058146232,210.4144446,143.0366994,33.46201238,81.55365758,264.3283164,54.11327147,48.93130761,94.1053918,65.79108172,5,28.60733988,0.8
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3001.tif,Otsu/Otsu,1,NaN,162.4159043,106.5450637,261392,42,61,15,42,21.28,74.19194993,1.766474998,4.8215777,238.8996727,101.8339537,25.73273742,69.17454446,212.8565187,47.84159502,32.72469787,69.1092558,67.86464957,3,33.94465122,0.666666667
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3002.tif,Otsu/Otsu,nd,NaN,337.3310891,149.1494621,260562,116,156,33,116,52.92,156.0793415,1.345511565,5.981423249,398.4785786,258.1474178,34.66755285,106.0359433,518.3194449,49.80469484,135.386027,122.7613909,47.55476228,3,86.04913928,0.666666667
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3003.tif,Otsu/Otsu,1,1.570136,496.1844937,263.3744139,259711,124,228,34,124,73.36,240.0385827,1.935795022,6.339162062,708.3479491,339.7255449,42.47495202,122.9277537,746.662278,45.49922434,159.4379985,180.2875464,53.06858701,9,37.74728277,0.888888889
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3004.tif,Otsu/Otsu,nd,NaN,226.1376942,120.0067688,261165,70,92,13,70,29.4,96.58765822,1.379823689,5.298367007,221.8238372,130.9474459,30.74585495,87.27590904,341.6236161,38.33091147,55.84223428,75.10521159,57.35523216,7,18.70677798,0.857142857
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3005.tif,Otsu/Otsu,nd,NaN,338.3227298,145.7816024,260688,107,119,21,107,39.2,143.6482435,1.342506948,5.779970165,492.9616998,270.8985629,47.06503197,271.2932313,531.2652639,50.99120557,144.4578349,126.4407279,46.67456578,13,20.83835099,0.923076923
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3006.tif,Otsu/Otsu,nd,NaN,357.4675811,186.9648807,260398,117,177,31,117,58.24,172.2595008,1.472303425,6.069590412,482.8639731,283.9222515,42.15717424,118.3911176,631.9311738,44.92929978,138.9874958,144.9347557,51.04733952,2,141.9611257,0.5
512,59.93171538,MAX_Pig 2 S TRITC-BTX SV22H3007.tif,Otsu/Otsu,1,1.26979821,541.2338474,280.5416876,259998,164,208,34,164,67.76,251.1981664,1.531696137,6.44583371,572.7222501,452.5387477,45.56699497,153.1778811,972.3663954,46.5399411,229.8455629,222.6931849,49.20974966,10,45.25387477,0.9
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3008.tif,Otsu/Otsu,nd,NaN,139.5857038,120.9801386,261565,20,26,1,20,7.56,57.12385507,2.856192753,3.9363693,152.7471445,162.679303,32.19627238,85.63375498,251.1099538,64.78409179,65.59540123,97.08390174,59.67809055,2,81.33965149,0.5
512,50.51366804,MAX_Pig 2 S TRITC-BTX SV22H3009.tif,Otsu/Otsu,1,0.72002605,316.8364599,156.1674587,260433,85,219,42,85,73.08,168.806418,1.985957859,6.020606419,380.8345813,144.9931728,27.15341956,94.00699311,338.9468491,42.77755442,55.23874491,89.75442789,61.90252007,5,28.99863456,0.8
512,37.93325044,MAX_Pig 2 S TRITC-BTX SV22H3010.tif,Otsu/Otsu,1,0.78299381,254.8359629,149.1165651,260510,99,114,15,99,36.12,121.0604125,1.22283245,5.636385086,216.8197058,84.07636115,26.58,88.23,317.73,26.46157465,19.36550336,64.71085779,76.96676795,16,5.254772572,0.9375
512,37.93325044,MAX_Pig 2 S TRITC-BTX SV22H3011.tif,Li/Li,nd,NaN,105.1460885,108.3491084,261245,24,68,17,24,23.8,66.60545341,2.775227225,4.580297988,148.0519369,94.60992106,25.30137152,63.2514735,148.7542853,63.60147601,20.50723371,74.10268735,78.3244363,2,47.30496053,0.5
512,69.79061228,MAX_Pig 2 S TRITC-BTX SV22H3013.tif,Otsu/Otsu,1,1.31612725,301.0689078,167.8363806,261294,70,42,5,70,13.16,115.8633212,1.655190302,5.028299902,370.8733777,326.345421,38.16,124.51,834.48,39.10763841,180.2480718,146.0973492,44.76770313,5,65.2690842,0.8
512,52.39530217,MAX_Pig 2 S TRITC-BTX SV22H3014.tif,Otsu/Otsu,nd,NaN,182.8044878,104.6294002,261397,47,67,9,47,21.28,76.44392719,1.626466536,4.883412472,134.8772418,140.0678839,24.54259616,64.6889628,199.236747,70.30223391,56.35180201,83.71608187,59.76822063,2,70.03394194,0.5
512,52.39530217,MAX_Pig 2 S TRITC-BTX SV22H3015.tif,Otsu/Otsu,1,1.28917406,304.8296692,201.990979,260601,80,136,31,80,46.76,157.9022485,1.973778107,5.771352804,363.8740461,225.4490769,38.55284478,96.8869566,364.3126388,61.88340807,87.26622675,138.1828502,61.292267,1,225.4490769,0
512,52.39530217,MAX_Pig 2 S TRITC-BTX SV22H3016.tif,Otsu/Otsu,nd,NaN,324.6489328,259.8612688,260498,48,139,23,48,45.36,168.4427097,3.509223119,5.564366502,408.8995478,319.3861923,37.65,116.81,797.52,40.04742105,116.9344399,202.4517524,63.38775979,2,159.6930962,0.5
