Pig 3 PL,,
Count,Image ref,Diameter (µm)
1,51.1,78.286
2,52.2,110.671
3,53.3,97.352
4,54.4,79.123
5,55.5,97.934
6,57.6,66.677
7,58.7,87.252
8,60.8,108.136
9,61.9,76.902
10,62.1,94.775
11,63.11,68.361
12,64.12,116.832
13,65.13,90.778
14,66.14,113.676
15,68.15,133.344
16,69.16,84.675
17,70.17,112.274
18,71.18,57.096
19,72.19,47.417
20,73.2,105.134
21,74.21,109.408
22,75.22,48.957
23,76.23,81.804
24,77.24,73.25
25,78.25,100.481
26,79.26,90.187
27,80.27,53.805
28,81.28,96.293
29,82.29,65.353
30,84.3,97.168
31,85.31,118.951
32,86.32,88.429
33,87.33,111.41
34,88.34,106.821
35,89.35,91.402
36,90.36,115.524
37,91.37,85.772
38,92.38,64.799
39,93.39,107.867
40,94.4,137.728
