IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48um)",Ref number,(nerve terminal/motor endplate),Number of Axonal Inputs,Axon Diameter (um),Nerve Terminal Perimeter (um),Nerve Terminal Area (um2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels), Number of Terminal Branches,Number of Branch Points,Total Length of Branches (um),Average Length of Branches (um),"""Complexity""",AChR Perimeter (um),AChR Area (um2),Endplate Diameter (um),Endplate Perimeter (um),Endplate Area (um2),"""Compactness"" (%)",Unoccupied AChR Area (um2),"""Area of Synaptic Contact"" (um2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (um2),"""Fragmentation"""
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 002.tif,Otsu/Huang,1,0.92713359,272.6006915,155.252491,260744,67,129,22,67,42.28,138.123311,2.061541956,5.592476762,345.8183818,201.3902219,31.64141315,94.43959298,361.9378449,55.6422117,80.34195603,121.0482659,60.10632727,14,14.38501585,0.928571429
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 003.tif,Otsu/Huang,nd,NaN,448.9952148,202.645869,260044,167,237,47,167,79.52,207.1849666,1.240628542,6.439551082,548.5610409,277.5661463,33.91434037,107.3115054,633.8876472,43.78790903,146.1514987,131.4146477,47.34534431,29,9.571246425,0.965517241
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 004.tif,Otsu/Otsu,nd,NaN,200.1927716,116.8919852,261064,44,132,30,44,45.36,106.5522685,2.421642466,5.327688423,235.9723264,152.3226478,32.48955114,91.31223607,278.8607282,54.62319802,59.21009432,93.11255345,61.12850243,5,30.46452955,0.8
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 005.tif,Otsu/Otsu,nd,NaN,186.3196625,122.5472641,261079,27,79,18,27,27.16,105.0723759,3.891569478,4.886782082,175.3057826,144.0684715,30.88531128,83.66707805,240.4418203,59.91822525,40.79393479,103.2745367,71.6843426,4,36.01711786,0.75
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 006.tif,Otsu/Otsu,nd,NaN,256.1662982,143.5623191,260872,57,113,21,57,37.52,125.494894,2.201664808,5.428763742,225.0201748,231.0196001,28.46664482,87.74887672,420.4179055,54.94999074,107.7228529,123.2967473,53.37068682,3,77.00653337,0.666666667
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 007.tif,Otsu/Otsu,nd,NaN,234.7480631,133.2932672,260886,57,142,27,57,47.32,124.1136609,2.177432648,5.524739178,222.1610808,200.8062,23.70231795,76.57521054,313.2401513,64.10614959,85.74415928,115.0620407,57.30004388,1,200.8062,0
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 008.tif,Otsu/Otsu,nd,NaN,275.6709251,163.2341238,260753,76,138,23,76,45.08,137.2353755,1.805728625,5.672263575,227.1488496,243.2061906,34.96084267,108.1784064,473.4860297,51.36501932,97.37593024,145.8302604,59.96157417,2,121.6030953,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 009.tif,Otsu/Otsu,1,1.16597775,245.4936923,117.7485507,260822,55,143,31,55,48.72,130.4278694,2.371415808,5.543440369,241.4653781,166.6993205,38.34048618,92.08408654,301.2093,55.34335111,77.36344397,89.33587648,53.59102619,1,166.6993205,0
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 010.tif,Otsu/Otsu,1,1.25338127,400.2172845,168.3637829,259961,112,299,55,112,99.12,215.3737057,1.922979515,6.378571997,364.7913984,305.6868013,40.63047212,154.8380468,534.7207269,57.16756166,161.3068688,144.3799324,47.23132691,18,16.98260007,0.944444444
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 011.tif,Otsu/Otsu,1,1.08458079,249.2124402,119.0333989,260808,57,130,25,57,43.4,131.8091025,2.312440395,5.513309988,198.9039183,167.0302662,34.19160508,86.3437048,283.3187621,58.95489058,74.6185407,92.4117255,55.32633552,1,167.0302662,0
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 012.tif,Otsu/Otsu,nd,NaN,206.8063001,102.1746331,261029,52,116,19,52,37.8,110.0053513,2.115487525,5.334908956,165.9236377,182.8767274,22.91832974,67.82135741,266.9272139,68.51183313,87.61302959,95.26369776,52.09175555,3,60.95890912,0.666666667
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 013.tif,Otsu/Otsu,nd,NaN,262.0051758,142.9004276,260762,48,138,24,48,45.36,136.3474399,2.840571665,5.472561271,195.1596141,211.1531215,28.52078978,78.6639875,330.7608086,63.8386157,80.66316812,130.4899534,61.79873281,7,30.16473164,0.857142857
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 014.tif,Otsu/Otsu,nd,NaN,311.8718371,126.3434065,260668,102,166,29,102,54.6,145.6214336,1.427661114,5.909018117,305.1526056,239.8675321,35.63793924,100.4887733,399.9382038,59.97614875,130.6457153,109.2218168,45.53422293,6,39.97792201,0.833333333
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 015.tif,Otsu/Huang,1,2.08862489,191.8605859,128.7768311,261033,31,132,20,31,42.56,109.6107133,3.53582946,5.160216317,179.9706228,155.3692954,33.27283676,81.27460635,263.0240008,59.07038709,45.26170288,110.1075925,70.86830911,5,31.07385908,0.8
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 016.tif,Otsu/Otsu,1,NaN,225.8108743,88.14837358,261088,65,89,11,65,28,104.1844403,1.602837544,5.277874251,212.2580285,156.1869261,37.4212275,89.21935186,273.9646779,57.00987707,75.08575828,81.1011678,51.9257084,2,78.09346304,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 017.tif,Otsu/Otsu,1,0.69405325,404.1830378,177.4258562,259972,102,258,45,102,84.84,214.2884511,2.100867168,6.268199597,359.5741311,298.7758754,34.48301527,97.40348547,491.2986979,60.81348813,154.1233986,144.6524768,48.41504576,4,74.69396884,0.75
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 019.tif,Otsu/Otsu,1,NaN,257.3105462,148.0106193,260914,54,90,8,54,27.44,121.3511947,2.247244346,5.254821923,244.2956789,237.1518302,38.44937097,102.3050122,395.7332461,59.92719402,100.3155075,136.8363227,57.69988052,4,59.28795754,0.75
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 020.tif,Otsu/Moments,1,0.85459781,209.3392823,121.807503,260969,47,123,19,47,39.76,115.9249218,2.466487697,5.335721045,205.4796531,163.2341238,27.52741714,72.52896773,246.262572,66.28458498,64.41762358,98.81650021,60.53666839,2,81.6170619,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 021.tif,Otsu/Otsu,nd,1.2132059,162.9205834,75.7476417,261406,43,71,9,43,22.4,72.81071682,1.693272484,4.845911781,139.7349137,129.9448749,27.33936674,69.20669777,195.8225464,66.35848494,63.9212049,66.02367003,50.80898348,1,129.9448749,0
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 022.tif,Otsu/Otsu,nd,NaN,263.4026628,156.5276055,260654,57,156,31,57,52.36,147.0026668,2.578994154,5.642199707,221.2538452,232.4309864,27.76822634,80.94016769,360.5556597,64.46466174,95.8964079,136.5345785,58.74198643,1,232.4309864,0
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 023.tif,Otsu/Huang,nd,NaN,305.4199987,161.8130038,260542,61,176,43,61,61.32,158.0525316,2.591025109,5.771733438,266.2651298,271.5799218,31.49696098,89.63622742,422.6177213,64.26136625,127.8132087,143.766713,52.93716565,2,135.7899609,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 026.tif,Otsu/Otsu,nd,2.20846706,165.0844311,117.3397354,261217,35,77,11,35,24.64,91.45736381,2.613067538,4.896927427,155.1446996,168.9478048,27.71981048,71.24348986,240.6462279,70.20588116,62.50008477,106.44772,63.00627591,2,84.4739024,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 028.tif,Otsu/Otsu,1,1.19010123,313.2777683,139.6299049,260479,63,195,36,63,64.68,164.2680806,2.607429851,5.825663743,289.2082417,259.7145433,36.91883079,95.05378756,418.6366386,62.03817805,132.3199116,127.3946317,49.05178973,2,129.8572716,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 029.tif,Otsu/Otsu,1,1.33422559,251.2812495,121.2137474,260714,56,160,34,56,54.32,141.0830963,2.519341005,5.632622771,248.1113532,195.9880192,39.24925213,96.12211485,294.7655916,66.48944953,94.07620609,101.9118131,51.99900154,3,65.32933974,0.666666667
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 030.tif,Otsu/Otsu,nd,NaN,235.6944304,156.8390839,260788,48,144,19,48,45.64,133.7822927,2.787131098,5.466985508,248.9779769,198.7426559,34.01965243,92.2533595,320.6085611,61.98919181,67.88282062,130.8598353,65.84385958,5,39.74853118,0.8
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 032.tif,Otsu/Otsu,nd,NaN,242.0867471,129.0980432,260580,46,208,31,46,66.92,154.3034703,3.354423268,5.676689458,210.1272197,132.9331204,28.72093336,76.34573821,228.9657897,58.05807083,50.81964532,82.11347505,61.7705165,3,44.31104012,0.666666667
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 035.tif,Otsu/Otsu,1,NaN,204.4826052,124.3771994,260932,51,139,29,51,47.04,119.5753236,2.344614188,5.457679054,182.9330046,151.7970281,29.55210477,75.19978596,224.7997668,67.5254384,51.42313469,100.3738934,66.12375397,2,75.89851403,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 036.tif,Otsu/Otsu,nd,2.00611647,254.471391,143.9808682,260884,76,136,31,76,46.76,124.3109799,1.635670789,5.645197585,219.6265405,248.5305237,30.97405783,83.50120765,382.1644704,65.0323468,117.6998949,130.8306288,52.6416743,2,124.2652619,0.5
512,50.51366804,MAX_Pig 3 S TRITC-BTX SV22H3 038.tif,Otsu/Otsu,1,NaN,242.315765,134.0719631,260852,70,136,25,70,45.08,127.4680842,1.820972631,5.604483406,226.2099871,208.2719467,33.50474564,82.22975281,319.2263759,65.24271253,92.43121087,115.8407359,55.61994195,1,208.2719467,0
