IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,50.51,1,Y,1,0.671,139.354,151.846,261165,7,63,16,7,22,96.6,13.8,4.17,100.639,176.326,35.82,81.765,215.28,81.9,33.046,143.28,81.3,2,88.163,0.5
512,50.51,2,H,1,nd,122.959,198.392,261409,10,40,6,10,13,72.5,7.3,3.97,138.747,179.295,34.846,81.843,251.081,71.4,11.885,167.41,93.4,2,89.6475,0.5
512,50.51,3,H,1,nd,233.246,235.546,260860,19,69,11,19,22,126.7,6.7,4.73,233.306,276.807,44.626,127.815,427.076,64.8,52.027,224.78,81.2,13,21.29284615,0.92
512,50.51,4,H,1,nd,200.052,259.539,260945,22,95,22,22,33,118.3,5.4,4.93,191.39,265.27,37.67,98.25,390.29,68,35.66,229.61,86.6,8,33.15875,0.88
512,50.51,5,Y,1,nd,178.753,173.435,261211,16,61,8,16,19,92,5.8,4.45,196.9,223.904,38.521,95.321,308.831,72.5,55.784,168.12,75.1,4,55.976,0.75
512,50.51,6,H,1,1.35,316.98,329.55,260299,19,91,18,19,31,182,9.6,5.02,304.16,360.56,42.14,120.87,623.6,57.8,54.82,305.74,84.8,11,32.77818182,0.91
512,50.51,7,H,1,1.582,126.2,240.86,261322,11,45,8,11,15,81.1,7.4,4.12,125.66,266.01,37.505,98.46,322.1,82.6,51.26,214.75,80.7,1,266.01,0
512,50.51,8,H,1,nd,298.93,378.48,260100,27,166,22,27,53,201.6,7.5,5.46,286.7,402.1,37.97,129.24,565.59,71.1,62.198,339.902,84.5,7,57.44285714,0.86
512,50.51,9,H,1,1.015,282.213,333.321,260217,30,138,12,30,42,190.1,6.3,5.38,298.211,360.449,44.247,124.979,508.81,70.8,47.792,312.657,86.7,6,60.07483333,0.83
512,50.51,10,H,1,1.451,340.29,297.91,259879,42,208,39,42,69,223.4,5.3,5.81,299.004,375.623,36.935,116.134,565.294,66.4,88.226,287.397,76.5,6,62.60383333,0.83
512,50.51,11,H,1,1.112,386.738,410.772,259516,47,205,34,47,67,259.3,5.5,5.91,323.168,470.118,47.09,152.79,706.16,66.6,86.34,383.778,81.6,6,78.353,0.83
512,50.05,12,H,1,1.02,174.441,194.071,261079,23,87,15,23,29,104.1,4.5,4.83,148.145,199.059,30.954,78.515,283.812,70.1,22.206,176.853,88.8,2,99.5295,0.5
512,50.05,13,H,1,nd,238.77,362.22,260333,29,176,34,29,59,177,6.1,5.48,276.12,293.69,36.6,105.92,496.27,59.2,20.86,272.83,92.9,15,19.57933333,0.93
512,50.05,14,H,1,0.865,311.538,296.119,260192,24,148,25,24,48,190.8,8,5.35,267.02,342.623,41.994,121.482,558.279,61.4,59.078,283.545,82.8,5,68.5246,0.8
512,50.05,15,H/M,1,nd,343.886,385.515,259684,41,224,56,41,78,240.5,5.9,5.89,291.2,470.726,39.888,118.331,692.851,67.9,90.046,380.68,80.9,16,29.420375,0.94
512,50.05,16,H,1,1.198,243.392,241.741,260517,23,147,20,23,47,159,6.9,5.23,210.813,314.885,42.65,110.777,589.877,53.4,69.656,245.229,77.9,10,31.4885,0.9
512,50.05,17,H,1,0.66,327.412,310.415,260189,15,107,16,15,34,191.1,12.7,4.99,273.323,392.003,38.895,108.804,622.746,62.9,90.419,301.584,76.9,3,130.6676667,0.67
