IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,50.05,18,H,1,1.341,198.5,232.167,260772,31,141,36,31,50,134.1,4.3,5.31,155.46,292.65,27.63,85,387.58,75.5,66.87,225.78,77.2,12,24.3875,0.92
512,50.05,19,M,1,0.895,435.158,393.723,259246,55,280,60,55,95,283.3,5.2,6.17,348.651,520.422,44.279,134.423,916.954,56.8,135.977,384.445,73.9,9,57.82466667,0.89
512,50.05,20,H,1,1.03,266.323,335.323,260416,30,140,23,30,46,168.9,5.6,5.36,241.1,369.31,31.852,98.998,506.758,72.9,48.864,320.446,86.8,7,52.75857143,0.86
512,50.05,21,M/H,1,1.01,340.227,362.22,259980,45,179,28,45,58,211.5,4.7,5.74,310.614,399.886,41.133,154.617,576.577,69.4,71.366,328.52,82.2,4,99.9715,0.75
512,59.38,22,M,1,1.249,354.641,362.238,260433,31,127,15,31,40,198.4,6.4,5.39,309.675,396.617,51.799,196.857,706.373,56.1,69.564,327.053,82.5,5,79.3234,0.8
512,59.38,23,M,1,1.065,211.568,234.664,261214,25,58,7,25,18,107.9,4.3,4.69,191.079,239.52,45.33,147.219,412.152,58.1,45.139,194.381,81.2,9,26.61333333,0.89
512,59.38,24,H,1,1.168,398.158,359.118,260143,29,152,24,29,49,232.1,8,5.52,348.004,427.982,51.514,222.373,640.05,66.9,84.077,343.905,80.4,1,427.982,0
512,59.38,25,H,1,1.233,295.522,183.782,260829,76,143,17,76,45,152.5,2,5.72,235.484,308.505,36.531,100.286,477.586,64.6,130.332,178.173,57.8,3,102.835,0.67
512,59.38,26,H,1,nd,308.603,228.141,260691,37,139,24,37,46,168.5,4.6,5.45,270.295,313.966,35.761,109.88,673.608,46.6,96.545,217.421,69.2,3,104.6553333,0.67
512,59.38,27,H,1,nd,372.341,282.479,260171,37,218,31,37,70,228.8,6.2,5.77,262.716,372.447,47.469,121.363,503.236,74,101.387,271.06,72.8,2,186.2235,0.5
512,59.38,28,H,1,nd,238.376,351.545,260742,19,107,12,19,33,162.6,8.6,5.01,198.969,392.676,38.434,102.751,520.438,75.5,52.523,340.153,86.6,1,392.676,0
512,59.38,29,H,1,1.388,219.394,176.237,261104,24,84,11,24,27,120.6,5,4.89,172.153,215.699,47.248,112.185,301.861,71.5,59.692,156.007,72.3,1,215.699,0
512,50.05,30,M/H,1,nd,294.11,269.938,260125,52,198,32,52,64,197.4,3.8,5.82,279.337,310.47,36.247,107.564,532.786,58.3,59.661,250.809,80.8,15,20.698,0.93
512,59.38,31,H,1,1.413,272.987,365.776,260822,20,93,26,20,33,153.3,7.7,5.01,233.536,340.503,36.019,111.766,578.193,58.9,41.467,299.036,87.8,4,85.12575,0.75
512,59.38,32,H,1,1.627,313.149,284.026,260581,24,124,17,24,39,181.3,7.6,5.23,270.53,375.137,37.42,106.261,690.259,54.3,93.909,281.228,75,1,375.137,0
512,59.38,33,H,1,nd,142.279,165.974,261488,13,45,8,13,15,76.1,5.9,4.17,138.165,193.991,29.413,76.891,299.709,64.7,32.226,161.765,83.4,1,193.991,0
512,59.38,34,H,1,nd,339.684,301.444,260358,25,154,23,25,50,207.1,8.3,5.41,289.283,393.429,31.33,103.833,609.048,64.6,97.607,295.822,75.2,3,131.143,0.67
512,59.38,35,H,1,0.937,235.974,423.934,261011,18,58,6,18,18,131.4,7.3,4.63,281.83,351.236,56.514,158.122,506.988,69.3,13.652,337.584,96.1,8,43.9045,0.88
512,59.38,36,H,1,0.713,201.712,194.233,261197,14,59,11,14,20,109.8,7.8,4.48,191.139,229.876,33.219,85.2,377.168,60.9,43.094,186.782,81.3,1,229.876,0
512,59.38,37,H,1,0.896,331.25,336.85,260474,39,146,31,39,50,193.7,5,5.57,277.34,366.83,37.1,115.786,709.12,51.7,63.61,303.22,82.7,10,36.683,0.9
512,59.38,38,M,1,nd,360.064,375.433,260427,45,129,18,45,41,199.1,4.4,5.57,335.666,351.048,36.944,170.596,638.194,55,48.77,302.278,86.1,3,117.016,0.67
512,59.38,39,H/M,1,1.306,137.029,137.743,261587,9,25,2,9,8,64.6,7.2,3.64,135.474,160.124,27.778,76.692,305.331,52.4,22.139,137.985,86.2,2,80.062,0.5
512,50.51,40,H,1,0.636,273.146,221.228,260453,42,140,28,42,47,166.8,4,5.52,260.236,244.111,38.773,104.28,480.27,50.8,49.7,194.411,79.6,4,61.02775,0.75
