IMAGE DETAILS (frame size),,NMJ,THRESHOLD,PRE-SYNAPTIC,,,,Branch analysis,,,,,,,,,POST-SYNAPTIC,,,,,,,,,,,
"Number of pixels (eg, 512 x 512)","Metric (eg, 67.48 x 67.48_m)",Ref number,(Huang/Yen/Manual),Number of Axonal Inputs,Axon Diameter (_m),Nerve Terminal Perimeter (_m),Nerve Terminal Area (_m2),Value 0 (background white pixels),Value 2 (terminal pixels),Value 4 (three-point branch pixels),Value 5 (four-point branch pixels),Number of Terminal Branches,Number of Branch Points,Total Length of Branches (_m),Average Length of Branches (_m),"""Complexity"" ",AChR Perimeter (_m),AChR Area (_m2),Endplate Diameter (_m),Endplate Perimeter (_m),Endplate Area (_m2),"""Compactness"" (%)",Unoccupied AChR Area (_m2),"""Area of Synaptic Contact"" (_m2)","""Overlap"" (%)",Number of AChR Clusters,Average Area of AChR Clusters (_m2),"""Fragmentation"""
512,50.51,1,y/m,1,0.7,149.5,139.2,261063,10,96,11,10,30,106.6,10.7,4.5,152.8,150,34.8,80.9,200.7,74.7,25.9,124.1,82.7,1,150,0
512,50.51,2,m/m,nd,nd,157.2,164.5,261062,20,94,19,20,32,106.7,5.3,4.83,160.9,160.8,34.9,81.7,243.7,66,24.9,135.9,84.5,2,80.4,0.5
512,50.51,3,h/m,nd,nd,255,204.5,260740,25,7,20,25,8,138.5,5.5,4.42,255.8,271.1,44.7,131.1,431.4,62.8,76,195.1,72,13,20.9,0.92
512,50.51,4,h/m,nd,nd,215.1,244.4,260855,29,103,19,29,34,127.2,4.4,5.1,198.7,257.1,37.7,98.3,385.8,66.6,41.8,215.3,83.7,7,36.7,0.86
512,50.51,5,h/h,1,0.9,177.8,188.1,261232,13,45,9,13,15,90,6.9,4.25,165.7,243.5,39.1,165.7,243.5,100,58.7,184.8,75.9,4,60.9,0.75
512,50.51,6,h/m,2,0.9,362.7,280.7,259937,60,194,33,60,64,217.7,3.6,5.92,353.5,328.8,41.4,121.7,609.9,53.9,72.6,256.2,77.9,9,36.5,0.89
512,50.51,7,m/m,3,1.3,165.8,177.1,260888,44,154,33,44,52,123.9,2.8,5.46,174.5,205.4,36.8,93.9,275.4,74.6,61.7,143.7,70,3,68.5,0.67
512,50.51,8,m/m,1,1.7,370.2,338.4,259520,75,316,71,75,108,258.9,3.5,6.32,356.7,349.6,37,129.9,547.2,63.9,65.3,284.3,81.3,5,69.9,0.8
512,50.51,9,h/h,1,1.1,313.9,304.7,260020,46,209,34,46,68,209.5,4.6,5.82,264.4,361.6,42.2,122.5,504.6,71.7,72.5,289.1,80,5,72.3,0.8
512,50.51,10,h/h,1,1.1,368,309.1,259713,51,239,41,51,78,239.8,4.7,5.98,299,375.6,36,116.1,565.3,66.4,88.7,286.9,76.4,6,62.6,0.83
512,50.51,11,h/m,1,0.8,390.1,411.5,259509,51,205,34,51,67,259.9,5.1,5.95,362,455.5,46.2,151.2,687.8,66.2,79.9,375.6,82.5,8,56.9,0.88
